url_id,candidate,item,src_group,dest_group,domain,n_src,n_sink,per_lane,src_tiles,src_widths,sink_widths,offends
universe-matrix,output-products,gravity-matrix,gravity-matrix#17,universe-matrix#37,requires-spray,2,12,6,30,"[30, 30]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",no
universe-matrix,output-products,high-purity-silicon,high-purity-silicon#18,crystal-silicon#5,unsprayed,2,1,1,18,"[18, 18]","[6]",no
universe-matrix,output-products,high-purity-silicon,high-purity-silicon#18,microcrystalline-component#24,unsprayed,2,2,1,18,"[18, 18]","[12, 16]",no
universe-matrix,output-products,hydrogen,mass-energy-storage#23,casimir-crystal#1,unsprayed,1,1,1,10,"[10]","[12]",no
universe-matrix,output-products,hydrogen,mass-energy-storage#23,deuterium#6,unsprayed,1,1,1,10,"[10]","[20]",no
universe-matrix,output-products,hydrogen,mass-energy-storage#23,energy-matrix#12,unsprayed,1,1,1,10,"[10]","[30]",no
universe-matrix,output-products,hydrogen,plasma-refining#28,casimir-crystal#1,unsprayed,1,1,1,14,"[14]","[12]",no
universe-matrix,output-products,hydrogen,plasma-refining#28,deuterium#6,unsprayed,1,1,1,14,"[14]","[20]",no
universe-matrix,output-products,hydrogen,plasma-refining#28,energy-matrix#12,unsprayed,1,1,1,14,"[14]","[30]",no
universe-matrix,output-products,information-matrix,information-matrix#19,universe-matrix#37,requires-spray,2,12,6,24,"[24, 24]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",no
universe-matrix,output-products,iron-ingot,iron-ingot#20,circuit-board#2,unsprayed,1,1,1,18,"[18]","[8]",no
universe-matrix,output-products,iron-ingot,iron-ingot#20,electric-motor#8,unsprayed,1,1,1,18,"[18]","[20]",no
universe-matrix,output-products,iron-ingot,iron-ingot#20,gear#13,unsprayed,1,1,1,6,"[6]","[12]",no
universe-matrix,output-products,iron-ingot,iron-ingot#20,strange-matter#32,unsprayed,1,1,1,6,"[6]","[40]",no
